id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
879200340559451175,Relaxation Grotto,405787712,Paula,Brooklyn,East New York,40.67810788175005,-73.87357048549786,Private room,50,30,10,2023-08-28,0.82,3,89,9,
897171274730049643,Cozy Modern Brooklyn Apartment,187908347,William,Brooklyn,Crown Heights,40.67564573254784,-73.95050849765539,Entire home/apt,,30,0,,,5,2,0,
21386117,"Newly Renovated Apt, Quick & Easy Access to Subway",83093714,Brianna,Manhattan,Harlem,40.81634,-73.94418,Private room,,30,0,,,1,0,0,
41665066,Spacious  Duplex In Prime Williamsburg,328778819,David,Brooklyn,Williamsburg,40.71783,-73.94463,Entire home/apt,350,30,28,2023-09-05,1.31,1,121,8,
40704152,Glorious Ocean-front home with stunning views,315925829,Jolanta,Queens,Arverne,40.58724,-73.79401,Entire home/apt,,30,8,2020-09-21,0.17,1,0,0,
22584507,private bedroom in great location in williamsburg,1653265,Allen,Brooklyn,Williamsburg,40.70949,-73.95391,Private room,,30,0,,,1,0,0,
3808358,Room 15. min from Midtown in Super Safe Area,19569282,Kay,Queens,Astoria,40.76315,-73.92709,Private room,,30,1,2014-08-16,0.01,1,0,0,
23310309,My House on New York !! Close to JFK and LGA,173290675,Charlie,Queens,Woodhaven,40.69736,-73.85206,Shared room,,30,61,2019-12-08,0.82,1,0,0,
658797762075613569,Cozy Bedroom with Desk in the heart of Manhattan.,303991288,Michelle,Manhattan,Hell's Kitchen,40.7694,-73.99101,Private room,230,5,46,2024-04-28,2.11,11,308,13,Exempt
27157649,SPACIOUS Bedroom with PRIVATE BATHROOM & ROOF,22264156,Raghav,Brooklyn,Clinton Hill,40.69535,-73.96389,Private room,,30,2,2019-05-30,0.03,1,0,0,
11547077,Beautiful with private terrace,8200984,Emilie,Brooklyn,Park Slope,40.67902,-73.9775,Entire home/apt,,30,4,2018-01-02,0.04,1,0,0,
45300663,5Subway take you to Manhattan Good room,19303369,Hiroki,Queens,Woodside,40.74125,-73.89591,Private room,,30,2,2022-12-27,0.04,258,0,0,
905163888060112243,"Comfort and Relaxation! Parking, Near Central Park",25138314,RoomPicks By Antony,Manhattan,Midtown,40.76311,-73.97903,Private room,,1,0,,,102,0,0,Exempt
37807497,Perfect Gem in Prime Williamsburg,15063464,Jonathan,Brooklyn,Williamsburg,40.71864,-73.95842,Private room,,30,2,2019-10-10,0.04,1,0,0,
4726749,Harlem,11686822,Douglas,Manhattan,Harlem,40.81169,-73.94301,Private room,,30,0,,,1,0,0,
46575820,2BR Penthouse Apartment in the heart of NYC,376601023,Kanvar,Manhattan,Chelsea,40.75219,-73.99686,Entire home/apt,,30,0,,,1,0,0,
37864788,Peaceful Bedroom,285546331,Bladimil,Brooklyn,Bushwick,40.69525,-73.91388,Private room,,30,3,2020-01-03,0.05,1,0,0,
963923720805134027,Cozy modern flat with gorgeous view,94439139,Mina,Manhattan,Midtown,40.74403434246076,-73.98195975353391,Entire home/apt,150,31,0,,,1,282,0,
